Player,Team 2014,Base.P 2014,Auction.P 2014
Mitchell Johnson,Kings XI Punjab,200,650
Jacques Kallis,Kolkata Knight Riders,200,550
Kevin Pietersen,Delhi Daredevils,200,900
Virender Sehwag,Kings XI Punjab,200,320
Yuvraj Singh,Royal Challengers Bangalore,200,1400
Murali Vijay,Delhi Daredevils,200,500
David Warner,Sunrisers Hyderabad,150,550
George Bailey,Kings XI Punjab,200,325
Faf du Plessis,Chennai Super Kings,150,475
Michael Hussey,Mumbai Indians,200,500
Dinesh Karthik,Delhi Daredevils,200,1250
Zaheer Khan,Mumbai Indians,100,260
Brendon McCullum,Chennai Super Kings,200,325
Amit Mishra,Sunrisers Hyderabad,200,475
Darren Sammy,Sunrisers Hyderabad,100,350
Jean-Paul Duminy,Delhi Daredevils,100,220
Aaron Finch,Sunrisers Hyderabad,100,400
Brad Hodge,Rajasthan Royals,200,240
Shaun Marsh,Kings XI Punjab,200,220
Cheteshwar Pujara,Kings XI Punjab,150,190
Dwayne Smith,Chennai Super Kings,150,450
Ross Taylor,Delhi Daredevils,200,200
Manoj Tiwary,Delhi Daredevils,200,280
Robin Uthappa,Kolkata Knight Riders,200,500
Quinton de Kock,Delhi Dardevils,100,350
Naman Ojha,Sunrisers Hyderabad,50,50
Parthiv Patel,Royal Challengers Bangalore,100,275
Wriddhiman Saha,Kings XI Punjab,100,220
Shakib Al Hasan,Kolkata Knight Riders,100,280
Albie Morkel,Royal Challengers Bangalore,150,240
Irfan Pathan,Sunrisers Hyderabad,150,240
Yusuf Pathan,Kolkata Knight Riders,200,325
Thisara Perera,Kings XI Punjab,50,160
Steve Smith,Rajasthan Royals,200,400
Ashok Dinda,Royal Challengers Bangalore,100,150
Bhuvneshwar Kumar,Sunrisers Hyderabad,150,425
Morne Morkel,Kolkata Knight Riders,150,280
Ravi Rampaul,Royal Challengers Bangalore,50,90
Mohammed Shami,Delhi Dardevils,100,425
Ishant Sharma,Sunrisers Hyderabad,150,425
Mitchell Starc,Royal Challengers Bangalore,200,500
Ranganath Vinay Kumar,Kolkata Knight Riders,150,280
Umesh Yadav,Kolkata Knight Riders,100,260
Piyush Chawla,Kolkata Knight Riders,50,425
Murali Kartik,Kings XI Punjab[REC],100,100
Muttiah Muralitharan,Royal Challengers Bangalore,100,100
Pragyan Ojha,Mumbai Indians [RTM],200,325
Rahul Sharma,Delhi Daredevils,50,190
Nic Maddinson,Royal Challengers Bangalore,50,50
Saurabh Tiwary,Delhi Daredevils,50,70
Brendan Taylor,Sunrisers Hyderabad,30,30
Corey Anderson,Mumbai Indians,100,450
Moises Henriques,Sunrisers Hyderabad,100,100
Glenn Maxwell,Kings XI Punjab,100,600
Abhishek Nayar,Rajasthan Royals,30,100
Laxmi Ratan Shukla,Delhi Daredevils,50,150
Andre Russell,Kolkata Knight Riders[REC],50,60
Varun Aaron,Royal Challengers Bangalore,150,200
Parvinder Awana,Kings XI Punjab [RTM],50,65
Lakshmipathy Balaji,Kings XI Punjab,50,180
Nathan Coulter-Nile,Delhi Daredevils,100,425
Ashish Nehra,Chennai Super Kings,200,200
Mohit Sharma,Chennai Super Kings,100,200
Jaydev Unadkat,Delhi Daredevils,100,280
Samuel Badree,Chennai Super Kings,30,30
Chris Lynn,Kolkata Knight Riders[RTM],50,130
Yalaka Venugopal Rao,Sunrisers Hyderabad,30,55
John Hastings,Chennai Super Kings[REC],50,50
James Neesham,Delhi Daredevils,30,100
Ben Cutting,Rajasthan Royals,50,80
Josh Hazlewood,Mumbai Indians,50,50
Ben Hilfenhaus,Chennai Super Kings,100,100
Jason Holder,Sunrisers Hyderabad,50,75
Kane Richardson,Rajasthan Royals,100,100
Tim Southee,Rajasthan Royals,50,120
Patrick Cummins,Kolkata Knight Riders[REC],100,100
Wayne Parnell,Delhi Daredevils[REC],100,100
Marchant de Lange,Mumbai Indians[REC],30,30
Krishmar Santokie,Mumbai Indians[REC],30,30
Matt Henry,Chennai Super Kings,30,30
Mayank Agarwal,Delhi Daredevils,10,160
Srikkanth Anirudha,Sunrisers Hyderabad,20,20
Baba Aparajith,Chennai Super Kings,10,10
Unmukt Chand,Rajasthan Royals,30,65
Kedar Jadhav,Delhi Daredevils[RTM],30,200
Manprit Juneja,Sunrisers Hyderabad,10,10
Gurkeerat Singh,Kings XI Punjab,20,130
Manish Pandey,Kolkata Knight Riders,20,170
KL Rahul,Sunrisers Hyderabad,10,100
Suryakumar Yadav,Kolkata Knight Riders,20,70
Vijay Zol,Royal Challengers Bangalore,30,30
Ankush Bains,Rajasthan Royals,10,10
Manvinder Bisla,Kolkata Knight Riders,30,60
Debabrata Das,Kolkata Knight Riders[REC],20,20
Ben Dunk,Mumbai Indians[REC],20,20
CM Gautam,Mumbai Indians,20,20
Sushant Marathe,Mumbai Indians,10,10
Yogesh Takawale,Royal Challengers Bangalore[REC],10,10
Aditya Tare,Mumbai Indians,20,160
Iqbal Abdullah,Rajasthan Royals,30,65
Rajat Bhatia,Rajasthan Royals,30,170
Kevon Cooper,Rajasthan Royals,30,30
Rishi Dhawan,Kings XI Punjab,20,300
Mithun Manhas,Chennai Super Kings,30,30
Parvez Rasool,Sunrisers Hyderabad,20,95
Mandeep Singh,Kings XI Punjab,30,80
Ryan Ten Doeschate,Kolkata Knight Riders,100,100
Abu Nechim Ahmed,Royal Challengers Bangalore,30,30
Jasprit Bumrah,Mumbai Indians,20,120
Siddarth Kaul,Delhi Daredevils,20,45
Dhawal Kulkarni,Rajasthan Royals,30,110
Ishwar Pandey,Chennai Super Kings,10,150
Prasanth Parameswaran,Sunrisers Hyderabad,30,30
Sandeep Sharma,Kings XI Punjab,30,85
Rahul Shukla,Delhi Daredevils,20,40
