Player,Team 2019,Base.P 2019,Auction.P 2019,Playing Role
Hanuma Vihari,Delhi Capitals,50,200,Batsman
Shimron Hetmyer,Royal Challengers Bangalore,50,420,Batsman
Carlos Brathwaite,Kolkata Knight Riders,75,500,All-rounder
Gurkeerat Singh,Royal Challengers Bangalore,50,50,All-rounder
Moises Henriques,Kings XI Punjab,100,100,All-rounder
Axar Patel,Delhi Capitals,100,500,All-rounder
Jonny Bairstow,Sunrisers Hyderabad,150,220,Wicketkeeper
Nicholas Pooran,Kings XI Punjab,75,420,Wicketkeeper
Wriddhiman Saha,Sunrisers Hyderabad,100,120,Wicketkeeper
Jaydev Unadkat,Rajasthan Royals,150,840,Bowler
Ishant Sharma,Delhi Capitals,75,110,Bowler
Lasith Malinga,Mumbai Indians,200,200,Bowler
Mohammad Shami,Kings XI Punjab,100,480,Bowler
Varun Aaron,Rajasthan Royals,50,240,Bowler
Mohit Sharma,Chennai Super Kings,50,500,Bowler
Devdutt Padikkal,Royal Challengers Bangalore,20,20,Batsman
Anmolpreet Singh,Mumbai Indians,20,80,Batsman
Sarfaraz Khan,Kings XI Punjab,20,25,All-rounder
Shivam Dube,Royal Challengers Bangalore,20,500,All-rounder
Varun Chakravarthy,Kings XI Punjab,20,840,All-rounder
Ankush Bains,Delhi Capitals,20,20,Wicketkeeper
Nathu Singh,Delhi Capitals,20,20,Bowler
Colin Ingram,Delhi Capitals,200,640,Batsman
Sam Curran,Kings XI Punjab,200,720,All-rounder
Heinrich Klaasen,Royal Challengers Bangalore,50,50,Wicketkeeper
Barinder Sran,Mumbai Indians,50,340,Bowler
Lockie Ferguson,Kolkata Knight Riders,100,160,Bowler
Sherfane Rutherford,Delhi Capitals,40,200,All-rounder
Anrich Nortje,Kolkata Knight Riders,20,20,Bowler
Oshane Thomas,Rajasthan Royals,50,110,Bowler
Hardus Viljoen,Kings XI Punjab,75,75,Bowler
Himmat Singh,Royal Challengers Bangalore,20,65,Batsman
Nikhil Naik,Kolkata Knight Riders,20,20,Wicketkeeper
Arshdeep Singh,Kings XI Punjab,20,20,Bowler
Harry Gurney,Kolkata Knight Riders,75,75,Bowler
Pankaj Jaiswal,Mumbai Indians,20,20,All-rounder
Milind Kumar,Royal Challengers Bangalore,20,20,All-rounder
Darshan Nalkande,Kings XI Punjab,20,30,All-rounder
Shashank Singh,Rajasthan Royals,20,30,All-rounder
Prab Simran Singh,Kings XI Punjab,20,480,Wicketkeeper
Rasikh Salam,Mumbai Indians,20,20,Bowler
Prithvi Raj Yarra,Kolkata Knight Riders,20,20,Bowler
Liam Livingstone,Rajasthan Royals,50,50,All-rounder
Keemo Paul,Delhi Capitals,50,50,All-rounder
Prayas Ray Barman,Royal Challengers Bangalore,20,150,All-rounder
Agnivesh Ayachi,Kings XI Punjab,20,20,All-rounder
Harpreet Brar,Kings XI Punjab,20,20,All-rounder
Martin Guptill,Sunrisers Hyderabad,100,100,Batsman
Yuvraj Singh,Mumbai Indians,100,100,All-rounder
Akshdeep Nath,Royal Challengers Bangalore,20,360,All-rounder
Jalaj Saxena,Delhi Capitals,20,20,All-rounder
Murugan Ashwin,Kings XI Punjab,20,20,Bowler
Ruturaj Gaikwad,Chennai Super Kings,20,20,Batsman
Shubham Ranjane,Rajasthan Royals,20,20,All-rounder
Joe Denly,Kolkata Knight Riders,100,100,Batsman
Bandaru Ayyappa,Delhi Capitals,20,20,Bowler
Shrikant Mundhe,Kolkata Knight Riders,20,20,All-rounder
Manan Vohra,Rajasthan Royals,20,20,Batsman
Ashton Turner,Rajasthan Royals,50,50,All-rounder
Riyan Parag,Rajasthan Royals,20,20,All-rounder
