bowler,MOM,total_overs,total_runs,avg_economy,death_over,over,wide_runs,WoPerOver,noball_runs,NoPerOver,powerplay_over,wickets
A Chandila,1.0,39.0,245.0,6.28205128205128,1.0,39.0,0.0,0.0,0.0,0.0,24.0,
A Joseph,1.0,9.0,94.0,10.4444444444444,2.0,9.0,3.0,0.333333333333333,0.0,0.0,4.0,
A Kumble,3.0,163.0,1089.0,6.68098159509202,30.0,163.0,26.0,0.159509202453987,5.0,0.0306748466257668,18.0,
A Mishra,11.0,519.0,3850.0,7.41811175337186,83.0,519.0,57.0,0.109826589595375,20.0,0.0385356454720616,22.0,24.0
A Nehra,6.0,320.0,2537.0,7.928125,88.0,320.0,64.0,0.2,9.0,0.028125,183.0,21.0
A Singh,1.0,90.0,769.0,8.54444444444444,30.0,90.0,21.0,0.233333333333333,1.0,0.0111111111111111,51.0,
A Symonds,3.0,88.0,694.0,7.88636363636363,14.0,88.0,17.0,0.193181818181818,1.0,0.0113636363636363,19.0,
A Zampa,1.0,37.0,281.0,7.59459459459459,8.0,37.0,8.0,0.216216216216216,0.0,0.0,1.0,19.0
AA Jhunjhunwala,1.0,15.0,130.0,8.66666666666666,1.0,15.0,3.0,0.2,0.0,0.0,5.0,
AB Dinda,2.0,255.0,2103.0,8.24705882352941,71.0,255.0,72.0,0.28235294117647,14.0,0.0549019607843137,135.0,15.0
AB de Villiers,20.0,,,,,,,,,,,
AC Gilchrist,7.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
AC Voges,1.0,9.0,76.0,8.44444444444444,1.0,9.0,2.0,0.222222222222222,0.0,0.0,2.0,
AD Mascarenhas,1.0,52.0,365.0,7.01923076923076,5.0,52.0,3.0,0.0576923076923077,0.0,0.0,28.0,
AD Mathews,1.0,133.0,1095.0,8.23308270676691,27.0,133.0,24.0,0.180451127819548,1.0,0.0075187969924812,21.0,0.0
AD Russell,11.0,175.0,1584.0,9.05142857142857,42.0,175.0,35.0,0.2,4.0,0.0228571428571428,54.0,19.0
AJ Finch,5.0,8.0,67.0,8.375,2.0,8.0,1.0,0.125,0.0,0.0,1.0,
AJ Tye,2.0,99.0,871.0,8.79797979797979,42.0,99.0,22.0,0.222222222222222,2.0,0.0202020202020202,27.0,12.0
AM Rahane,12.0,1.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
AP Tare,1.0,,,,,,,,,,,
AR Patel,4.0,286.0,2183.0,7.63286713286713,45.0,286.0,37.0,0.129370629370629,0.0,0.0,43.0,28.0
AS Rajpoot,2.0,72.0,665.0,9.2361111111111,12.0,72.0,21.0,0.291666666666666,8.0,0.111111111111111,34.0,7.0
AS Yadav,2.0,,,,,,,,,,,
AT Rayudu,9.0,,,,,,,,,,,
Azhar Mahmood,2.0,91.0,707.0,7.76923076923076,36.0,91.0,14.0,0.153846153846153,5.0,0.0549450549450549,24.0,
B Kumar,5.0,439.0,3264.0,7.43507972665148,157.0,439.0,110.0,0.250569476082004,8.0,0.0182232346241457,231.0,52.0
B Lee,2.0,147.0,1126.0,7.65986394557823,53.0,147.0,40.0,0.272108843537415,13.0,0.0884353741496598,81.0,
B Stanlake,1.0,24.0,204.0,8.5,1.0,24.0,6.0,0.25,0.0,0.0,14.0,2.0
BA Bhatt,1.0,50.0,408.0,8.16,11.0,50.0,7.0,0.14,1.0,0.02,16.0,
BA Stokes,3.0,98.0,867.0,8.8469387755102,28.0,98.0,27.0,0.275510204081632,2.0,0.0204081632653061,26.0,14.0
BB McCullum,5.0,,,,,,,,,,,
BCJ Cutting,1.0,48.0,434.0,9.04166666666666,13.0,48.0,7.0,0.145833333333333,0.0,0.0,7.0,7.0
BJ Hodge,6.0,39.0,310.0,7.94871794871795,3.0,39.0,9.0,0.23076923076923,0.0,0.0,6.0,
BW Hilfenhaus,2.0,62.0,497.0,8.01612903225806,16.0,62.0,15.0,0.241935483870967,3.0,0.0483870967741935,40.0,
CA Lynn,4.0,,,,,,,,,,,
CH Gayle,21.0,92.0,750.0,8.15217391304347,25.0,92.0,46.0,0.5,3.0,0.0326086956521739,20.0,2.0
CH Morris,2.0,214.0,1793.0,8.37850467289719,82.0,214.0,50.0,0.233644859813084,5.0,0.0233644859813084,84.0,30.0
CJ Anderson,3.0,50.0,532.0,10.64,15.0,50.0,21.0,0.42,0.0,0.0,12.0,4.0
CL White,1.0,7.0,86.0,12.2857142857142,0.0,7.0,5.0,0.714285714285714,0.0,0.0,0.0,
