batsman,avg.runs,4's,6's,50's,100's,no of balls,batsman_runs,strike,30's
DA Warner,60.58333333,58,22,9,1,496,727,146.5725806,10
J Bairstow,46.8,50,18,4,1,293,468,159.7269625,7
KL Rahul,46,116,57,13,2,873,1288,147.5372279,17
JC Buttler,43,91,36,8,0,579,903,155.9585492,11
RR Pant,40.93333333,104,65,9,1,723,1228,169.8478562,16
AB de Villiers,39.25,70,56,11,0,575,942,163.826087,12
CH Gayle,37.875,77,61,8,2,599,909,151.7529215,11
V Kohli,36.10714286,98,31,8,1,717,1011,141.0041841,14
KS Williamson,34.92307692,77,33,8,0,656,908,138.4146341,15
Gurkeerat Singh,34.66666667,11,2,1,0,73,104,142.4657534,1
MS Dhoni,33.96296296,48,51,6,0,638,917,143.7304075,13
R Parag,33.8,18,5,1,0,133,169,127.0676692,3
S Dhawan,33.46875,125,25,9,0,771,1071,138.9105058,15
SPD Smith,33.4,32,4,3,0,283,334,118.0212014,5
AS Yadav,33.17241379,106,26,6,0,720,962,133.6111111,15
AD Russell,32.25925926,49,82,7,0,453,871,192.2737307,13
F du Plessis,32.16666667,54,21,3,0,456,579,126.9736842,8
CA Lynn,31.86206897,96,40,7,0,679,924,136.0824742,14
Q de Kock,31.79166667,68,34,5,0,570,763,133.8596491,11
SS Iyer,31.27586207,72,35,6,0,715,907,126.8531469,14
SV Samson,31.11538462,60,32,5,1,563,809,143.6944938,11
SR Watson,30.8125,86,56,7,2,690,986,142.8985507,12
N Pooran,29.5,10,14,0,0,110,177,160.9090909,3
AM Rahane,29.37037037,85,14,3,1,613,793,129.3637847,12
E Lewis,29,36,26,4,0,343,464,135.2769679,8
KD Karthik,28.03571429,72,30,4,1,530,785,148.1132075,11
PA Patel,27.6,68,14,3,0,384,552,143.75,10
AT Rayudu,27.57575758,75,41,5,1,717,910,126.9177127,12
MJ Guptill,27.33333333,4,7,0,0,54,82,151.8518519,2
SK Raina,27.09375,91,21,7,0,675,867,128.4444444,13
MK Pandey,27.04166667,58,11,6,0,524,649,123.8549618,8
M Vijay,26.33333333,6,2,0,0,72,79,109.7222222,1
N Rana,25.65384615,53,35,4,0,480,667,138.9583333,8
HH Pandya,25.42857143,50,41,2,0,430,712,165.5813953,9
JJ Roy,25.4,9,7,1,0,98,127,129.5918367,1
A Hales,25.33333333,14,6,0,0,119,152,127.7310924,3
RV Uthappa,24.74074074,58,31,2,0,532,668,125.5639098,11
P Shaw,24.64,72,19,4,1,435,616,141.6091954,7
RG Sharma,24.37931034,77,21,4,0,542,707,130.4428044,9
DA Miller,24,23,9,2,0,241,312,129.4605809,3
KK Nair,24,24,13,1,0,231,312,135.0649351,6
JP Duminy,24,3,1,0,0,46,48,104.3478261,1
BB McCullum,23,16,5,0,0,91,138,151.6483516,3
S Gill,22.47826087,43,15,4,0,384,517,134.6354167,6
M Ali,22.21428571,20,23,3,0,183,311,169.9453552,4
SP Narine,22.16666667,59,34,3,0,288,532,184.7222222,7
H Brar,22,2,1,0,0,14,22,157.1428571,0
Ishan Kishan,21.77777778,30,21,2,0,291,392,134.7079038,5
SN Khan,21.72727273,26,6,1,0,188,239,127.1276596,3
KA Pollard,21.5,25,27,2,0,290,430,148.2758621,4
V Shankar,20.56521739,22,23,1,0,352,473,134.375,5
HV Patel,20.33333333,1,6,0,0,36,61,169.4444444,1
SP Goswami,20,6,1,0,0,42,60,142.8571429,1
RA Tripathi,20,30,11,2,0,296,380,128.3783784,4
P R Barman,20,2,0,0,0,25,20,80,0
MA Agarwal,19.25,35,19,2,0,335,462,137.9104478,6
MP Stoinis,18.76470588,20,14,0,0,237,319,134.5991561,4
C Munro,18.75,16,8,0,0,113,150,132.7433628,2
S Hetmyer,18.6,4,7,1,0,76,93,122.3684211,1
Shakib Al Hasan,18.5,25,7,0,0,214,259,121.0280374,2
G Gambhir,18.2,8,1,1,0,91,91,100,1
L Livingstone,18,6,5,0,0,48,72,150,1
D Short,17.57142857,11,5,0,0,102,123,120.5882353,2
M Santner,17.5,0,3,0,0,25,35,140,0
Mandeep Singh,17.4,26,15,0,0,316,435,137.6582278,6
Yuvraj Singh,17.4,14,8,1,0,157,174,110.8280255,1
S Singh,17,1,1,0,0,18,17,94.44444444,0
KH Pandya,16.11111111,40,16,0,0,322,435,135.0931677,6
Mohammad Nabi,16,11,7,0,0,92,144,156.5217391,1
YK Pathan,15.95,23,12,0,0,258,319,123.6434109,3
BA Stokes,15.76190476,21,10,0,0,266,331,124.4360902,3
C de Grandhomme,15.58333333,9,12,0,0,137,187,136.4963504,3
C Ingram,15.58333333,20,5,0,0,157,187,119.1082803,2
AJ Finch,15.55555556,6,8,0,0,102,140,137.254902,2
CR Brathwaite,15.5,2,8,0,0,64,93,145.3125,1
KM Jadhav,15.23076923,21,5,1,0,195,198,101.5384615,1
A Joseph,15,2,0,0,0,13,15,115.3846154,0
SD Lad,15,1,1,0,0,13,15,115.3846154,0
WP Saha,14.86666667,30,2,0,0,163,223,136.809816,2
M Vohra,14.75,2,4,0,0,50,59,118,1
GJ Maxwell,14.5,15,9,0,0,122,174,142.6229508,1
DJ Bravo,13.11111111,14,12,1,0,161,236,146.5838509,1
BCJ Cutting,12.88888889,6,9,0,0,76,116,152.6315789,1
RA Jadeja,12.88235294,10,8,0,0,174,219,125.862069,1
Ankit Sharma,12.83333333,4,5,0,0,45,77,171.1111111,1
SW Billings,12.44444444,9,5,1,0,83,112,134.939759,1
MK Tiwary,12.25,4,1,0,0,45,49,108.8888889,1
TG Southee,12.2,5,1,0,0,55,61,110.9090909,1
S Curran,11.875,13,3,1,0,55,95,172.7272727,1
AD Nath,11.83333333,6,2,0,0,71,71,100,0
S Rutherford,11.71428571,2,7,0,0,55,82,149.0909091,1
STR Binny,11.6,7,6,0,0,81,116,143.2098765,1
H Klaasen,11.33333333,5,1,0,0,58,68,117.2413793,1
DJ Hooda,10.8,7,4,0,0,154,162,105.1948052,1
R Ashwin,10.78571429,10,8,0,0,104,151,145.1923077,2
S Gopal,10.63636364,13,1,0,0,93,117,125.8064516,0
R Singh,10.42857143,5,2,0,0,68,73,107.3529412,1
I Sharma,10,1,1,0,0,3,10,333.3333333,0
S Dube,10,1,3,0,0,33,40,121.2121212,0
Washington Sundar,10,5,4,0,0,44,70,159.0909091,1
AR Patel,10,14,7,0,0,161,200,124.2236025,0
DL Chahar,9.833333333,2,4,0,0,40,59,147.5,1
SN Thakur,9.666666667,4,1,0,0,12,29,241.6666667,0
DT Christian,9.333333333,0,1,0,0,33,28,84.84848485,0
M Lomror,9.333333333,3,0,0,0,24,28,116.6666667,0
R Tewatia,9.333333333,7,2,0,0,69,84,121.7391304,0
KC Cariappa,9,0,1,0,0,3,9,300,0
CH Morris,9,4,4,0,0,64,81,126.5625,0
Harbhajan Singh,8.75,3,1,0,0,41,35,85.36585366,0
K Gowtham,8.705882353,10,10,0,0,86,148,172.0930233,1
MG Johnson,8.5,2,0,0,0,11,17,154.5454545,0
D Shorey,8,0,1,0,0,20,16,80,0
N Naik,8,1,0,0,0,17,8,47.05882353,0
P Chopra,8,2,0,0,0,6,8,133.3333333,0
J Archer,7.727272727,6,4,0,0,62,85,137.0967742,0
PP Chawla,7.2,5,3,0,0,74,72,97.2972973,0
JD Unadkat,7.142857143,6,1,0,0,41,50,121.9512195,0
Rashid Khan,7,5,8,0,0,58,98,168.9655172,1
R Vinay Kumar,7,1,0,0,0,4,7,175,0
S Nadeem,6,0,0,0,0,8,6,75,0
J Suchith,6,0,0,0,0,15,6,40,0
T Curran,6,3,0,0,0,28,24,85.71428571,0
CJ Anderson,5.666666667,0,1,0,0,22,17,77.27272727,0
Mohammed Siraj,5.666666667,2,1,0,0,38,34,89.47368421,0
A Mishra,5.6,2,0,0,0,28,28,100,0
R Salam,5,0,0,0,0,4,5,125,0
B Stanlake,5,1,0,0,0,2,5,250,0
I Sodhi,5,0,1,0,0,18,10,55.55555556,0
AJ Tye,4.555555556,2,1,0,0,42,41,97.61904762,0
M Markande,4.428571429,3,0,0,0,30,31,103.3333333,0
K Paul,4.4,1,1,0,0,26,22,84.61538462,0
S Mavi,4.333333333,1,0,0,0,15,13,86.66666667,0
Kuldeep Yadav,4.333333333,2,0,0,0,33,26,78.78787879,0
CR Woakes,4.25,1,1,0,0,19,17,89.47368421,0
B Kumar,4,2,0,0,0,37,32,86.48648649,0
Avesh Khan,4,1,0,0,0,3,4,133.3333333,0
Anureet Singh,4,0,0,0,0,4,4,100,0
AS Rajpoot,4,1,0,0,0,18,12,66.66666667,0
R Bhui,4,0,0,0,0,18,8,44.44444444,0
S Sharma,4,2,0,0,0,4,8,200,0
A Dananjaya,4,0,0,0,0,5,4,80,0
J Searles,4,0,1,0,0,6,8,133.3333333,0
K Rabada,3.75,0,1,0,0,15,15,100,0
DS Kulkarni,3.666666667,1,0,0,0,10,11,110,0
MJ McClenaghan,3.5,4,1,0,0,28,28,100,0
UT Yadav,3.3,4,1,0,0,38,33,86.84210526,0
JJ Bumrah,3,1,0,0,0,12,12,100,0
M Ur Rahman,3,2,0,0,0,11,12,109.0909091,0
M Wood,3,0,0,0,0,5,3,60,0
RD Chahar,3,2,0,0,0,11,12,109.0909091,0
VR Aaron,3,0,0,0,0,7,3,42.85714286,0
Mohammed Shami,2.666666667,1,0,0,0,8,8,100,0
MM Sharma,2.4,1,0,0,0,16,12,75,0
