bowler,total_overs,total_runs,avg_economy,death_over,over,wide_runs,WoPerOver,noball_runs,NoPerOver,powerplay_over,wickets
A Ashish Reddy,45,400,8.888888888888891,18,45,8,0.17777777777777778,2,0.04444444444444445,1,1
A Choudhary,17,144,8.470588235294116,4,17,6,0.35294117647058826,1,0.05882352941176471,6,5
A Mishra,519,3850,7.4181117533718695,83,519,57,0.10982658959537572,20,0.03853564547206165,22,24
A Nehra,320,2537,7.928125,88,320,64,0.2,9,0.028125,183,21
A Zampa,37,281,7.594594594594594,8,37,8,0.21621621621621626,0,0.0,1,19
AB Dinda,255,2103,8.24705882352941,71,255,72,0.2823529411764706,14,0.054901960784313725,135,15
AD Mathews,133,1095,8.233082706766918,27,133,24,0.18045112781954886,1,0.0075187969924812035,21,0
AD Russell,175,1584,9.051428571428572,42,175,35,0.2,4,0.022857142857142857,54,19
AF Milne,18,185,10.277777777777779,6,18,11,0.6111111111111112,0,0.0,7,5
AJ Tye,99,871,8.797979797979798,42,99,22,0.2222222222222222,2,0.020202020202020204,27,12
AR Patel,286,2183,7.6328671328671325,45,286,37,0.12937062937062938,0,0.0,43,28
AS Rajpoot,72,665,9.236111111111109,12,72,21,0.2916666666666667,8,0.1111111111111111,34,7
Ankit Sharma,64,475,7.421875,5,64,14,0.21875,1,0.015625,24,1
Ankit Soni,19,145,7.63157894736842,1,19,3,0.15789473684210525,0,0.0,1,4
Anureet Singh,69,636,9.217391304347826,22,69,16,0.2318840579710145,6,0.08695652173913042,27,1
Avesh Khan,26,264,10.153846153846152,4,26,3,0.1153846153846154,1,0.038461538461538464,16,1
B Kumar,439,3264,7.43507972665148,157,439,110,0.2505694760820046,8,0.018223234624145785,231,52
B Stanlake,24,204,8.5,1,24,6,0.25,0,0.0,14,2
BA Stokes,98,867,8.846938775510203,28,98,27,0.2755102040816326,2,0.020408163265306117,26,14
BB Sran,81,786,9.703703703703702,15,81,32,0.3950617283950617,7,0.08641975308641975,38,14
BCJ Cutting,48,434,9.041666666666666,13,48,7,0.14583333333333334,0,0.0,7,7
Basil Thampi,68,666,9.794117647058824,25,68,11,0.16176470588235295,1,0.014705882352941175,18,15
Bipul Sharma,72,581,8.069444444444445,6,72,15,0.20833333333333331,0,0.0,13,8
C Munro,2,15,7.5,0,2,0,0.0,0,0.0,0,0
C de Grandhomme,37,338,9.135135135135137,3,37,16,0.4324324324324325,2,0.054054054054054064,2,4
CH Gayle,92,750,8.152173913043477,25,92,46,0.5,3,0.03260869565217391,20,2
CH Morris,214,1793,8.378504672897197,82,214,50,0.2336448598130841,5,0.02336448598130841,84,30
CJ Anderson,50,532,10.64,15,50,21,0.42,0,0.0,12,4
CJ Jordan,33,316,9.575757575757576,11,33,17,0.5151515151515151,2,0.060606060606060615,8,14
CR Brathwaite,44,392,8.909090909090908,11,44,9,0.20454545454545456,7,0.1590909090909091,4,10
CR Woakes,63,603,9.571428571428571,23,63,22,0.3492063492063492,0,0.0,20,18
D Wiese,47,409,8.702127659574469,11,47,11,0.23404255319148934,1,0.02127659574468085,10,0
DJ Bravo,437,3733,8.54233409610984,193,437,124,0.2837528604118993,6,0.013729977116704805,36,19
DJ Hooda,38,318,8.368421052631579,3,38,11,0.2894736842105263,0,0.0,9,5
DL Chahar,116,923,7.956896551724138,10,116,32,0.27586206896551724,5,0.04310344827586207,94,1
DR Smith,90,825,9.166666666666666,12,90,19,0.2111111111111111,4,0.04444444444444445,11,10
DS Kulkarni,292,2461,8.428082191780822,56,292,99,0.339041095890411,7,0.023972602739726026,166,23
DT Christian,131,1067,8.145038167938932,33,131,33,0.2519083969465649,3,0.022900763358778626,29,12
DW Steyn,352,2454,6.971590909090909,103,352,105,0.2982954545454545,7,0.01988636363636364,183,0
GB Hogg,77,585,7.597402597402597,16,77,17,0.2207792207792208,1,0.012987012987012988,8,5
GJ Maxwell,70,617,8.814285714285715,5,70,15,0.21428571428571427,0,0.0,11,7
Gurkeerat Singh,13,97,7.461538461538463,0,13,4,0.3076923076923077,0,0.0,2,2
HH Pandya,146,1385,9.486301369863014,35,146,42,0.2876712328767123,3,0.02054794520547945,26,9
HV Patel,140,1262,9.014285714285714,31,140,38,0.2714285714285714,2,0.014285714285714284,38,5
Harbhajan Singh,563,4050,7.19360568383659,45,563,96,0.1705150976909414,3,0.0053285968028419185,124,17
I Sharma,319,2682,8.407523510971787,64,319,96,0.30094043887147337,21,0.06583072100313479,201,3
IK Pathan,345,2711,7.857971014492754,86,345,79,0.2289855072463768,1,0.0028985507246376808,153,2
Imran Tahir,206,1656,8.038834951456309,54,206,36,0.17475728155339804,1,0.0048543689320388345,8,24
Iqbal Abdulla,154,1125,7.305194805194804,20,154,26,0.16883116883116886,0,0.0,46,9
J Suchith,45,397,8.822222222222223,1,45,9,0.2,0,0.0,8,0
J Yadav,37,248,6.702702702702703,1,37,2,0.054054054054054064,2,0.054054054054054064,17,2
JA Morkel,288,2409,8.364583333333334,55,288,85,0.2951388888888889,18,0.0625,150,3
JD Unadkat,254,2244,8.834645669291337,82,254,34,0.13385826771653545,1,0.003937007874015748,87,27
JJ Bumrah,292,2299,7.873287671232878,122,292,41,0.1404109589041096,23,0.07876712328767123,95,41
JO Holder,36,313,8.694444444444445,4,36,9,0.25,3,0.08333333333333333,16,3
JP Duminy,115,847,7.3652173913043475,11,115,32,0.2782608695652174,0,0.0,27,2
JP Faulkner,209,1849,8.84688995215311,80,209,50,0.23923444976076555,5,0.023923444976076555,62,13
JW Hastings,10,66,6.6,2,10,2,0.2,1,0.1,6,2
K Rabada,70,599,8.557142857142857,32,70,24,0.3428571428571429,2,0.028571428571428567,29,8
KA Pollard,202,1785,8.836633663366339,50,202,75,0.3712871287128713,7,0.034653465346534656,6,0
KC Cariappa,36,350,9.722222222222221,3,36,6,0.16666666666666666,2,0.05555555555555555,6,7
KH Pandya,159,1159,7.289308176100628,17,159,26,0.16352201257861634,1,0.006289308176100629,31,17
KJ Abbott,16,182,11.375,4,16,6,0.375,1,0.0625,7,2
KS Williamson,1,7,7.0,0,1,0,0.0,0,0.0,1,0
KV Sharma,187,1482,7.925133689839572,13,187,13,0.06951871657754011,0,0.0,26,14
KW Richardson,53,450,8.49056603773585,18,53,13,0.2452830188679245,0,0.0,27,8
Kuldeep Yadav,138,1173,8.5,21,138,23,0.16666666666666666,0,0.0,9,19
LH Ferguson,13,96,7.384615384615384,2,13,9,0.6923076923076923,0,0.0,5,5
M Ashwin,70,570,8.142857142857142,13,70,17,0.24285714285714285,1,0.014285714285714284,3,7
M Morkel,272,2136,7.852941176470589,65,272,71,0.2610294117647059,13,0.04779411764705882,151,10
M Vijay,6,49,8.166666666666666,0,6,1,0.16666666666666666,0,0.0,1,0
MC Henriques,151,1255,8.311258278145695,17,151,31,0.2052980132450331,1,0.006622516556291391,29,16
MG Johnson,208,1749,8.408653846153848,52,208,66,0.3173076923076923,9,0.04326923076923077,104,12
MJ Henry,5,71,14.2,2,5,1,0.2,0,0.0,3,2
MJ McClenaghan,213,1869,8.774647887323944,62,213,68,0.3192488262910798,9,0.04225352112676056,109,38
MM Patel,227,1733,7.634361233480176,52,227,17,0.07488986784140969,11,0.048458149779735685,109,1
MM Sharma,293,2457,8.38566552901024,90,293,35,0.11945392491467575,6,0.020477815699658702,131,29
MN Samuels,36,285,7.916666666666668,9,36,6,0.16666666666666666,0,0.0,13,0
MP Stoinis,62,588,9.483870967741936,10,62,12,0.1935483870967742,0,0.0,9,11
MR Marsh,54,420,7.777777777777778,13,54,10,0.1851851851851852,2,0.037037037037037035,12,4
MS Gony,148,1317,8.898648648648651,20,148,32,0.21621621621621626,5,0.03378378378378378,81,0
Mohammad Nabi,46,314,6.826086956521738,3,46,0,0.0,0,0.0,22,2
Mohammed Shami,173,1599,9.242774566473988,50,173,57,0.3294797687861272,3,0.017341040462427744,79,16
Mohammed Siraj,93,900,9.677419354838712,36,93,37,0.3978494623655914,2,0.021505376344086027,23,10
Mustafizur Rahman,92,697,7.576086956521738,39,92,11,0.11956521739130435,2,0.021739130434782608,25,19
N Rana,16,124,7.75,1,16,3,0.1875,0,0.0,3,0
NB Singh,4,18,4.5,0,4,1,0.25,0,0.0,4,1
NLTC Perera,119,1031,8.663865546218487,41,119,15,0.12605042016806722,3,0.025210084033613446,30,10
NM Coulter-Nile,95,739,7.778947368421052,24,95,16,0.16842105263157894,7,0.07368421052631577,48,20
P Kumar,424,3342,7.882075471698112,102,424,144,0.33962264150943394,1,0.0023584905660377358,262,16
P Negi,121,959,7.9256198347107425,15,121,17,0.14049586776859505,0,0.0,7,19
P Sahu,18,152,8.444444444444445,3,18,2,0.1111111111111111,0,0.0,1,3
PJ Cummins,61,525,8.60655737704918,20,61,21,0.3442622950819672,1,0.016393442622950817,21,16
PJ Sangwan,134,1202,8.970149253731341,23,134,50,0.373134328358209,6,0.04477611940298507,55,6
PP Chawla,525,4153,7.9104761904761896,70,525,63,0.12,1,0.0019047619047619048,58,18
PV Tambe,110,866,7.872727272727272,13,110,19,0.17272727272727273,0,0.0,13,5
Parvez Rasool,33,273,8.272727272727273,0,33,3,0.09090909090909093,0,0.0,11,1
R Ashwin,489,3391,6.934560327198364,74,489,111,0.22699386503067484,2,0.00408997955010225,136,11
R Bhatia,274,2059,7.514598540145985,39,274,32,0.1167883211678832,2,0.007299270072992701,2,8
R Dhawan,82,655,7.987804878048781,15,82,31,0.3780487804878049,3,0.03658536585365853,13,2
R Sathish,24,233,9.708333333333334,5,24,5,0.20833333333333331,0,0.0,0,2
R Tewatia,50,361,7.22,4,50,5,0.1,0,0.0,2,3
R Vinay Kumar,358,3043,8.5,113,358,50,0.13966480446927373,11,0.030726256983240226,126,6
RA Jadeja,420,3221,7.669047619047619,81,420,57,0.1357142857142857,2,0.0047619047619047615,22,14
