,bowler,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,av.eco,over
0,AC Gilchrist,,,,,,0.0,,,,,0.0,1
1,N Rana,,,,,,,,,3.0,,3.0,1
2,Sachin Baby,,,,,,,,,4.0,,4.0,2
3,NB Singh,,,,,,,,,,4.5,4.5,4
4,AM Rahane,,5.0,,,,,,,,,5.0,1
5,SPD Smith,,,,,5.0,,,,,,5.0,1
6,S Rana,,,,2.0,,,8.0,,,,5.0,3
7,Mohammad Nabi,,,,,,,,,,5.363636363636363,5.363636363636363,11
8,DJ Thornely,5.714285714285714,,,,,,,,,,5.714285714285714,7
9,Avesh Khan,,,,,,,,,,6.0,6.0,4
10,SS Mundhe,,,,6.0,,,,,,,6.0,1
11,LA Carseldine,,6.0,,,,,,,,,6.0,1
12,M Manhas,,,,6.0,,,,,,,6.0,7
13,J Yadav,,,,,,,,4.142857142857143,7.352941176470588,7.166666666666667,6.220821661998133,30
14,A Chandila,,,,,6.214285714285714,6.32,,,,,6.267142857142858,39
15,R Ashwin,,3.5,6.416666666666667,6.317460317460317,6.552238805970149,6.844827586206897,7.433333333333334,5.871794871794871,7.295454545454546,,6.278972015860847,383
16,Washington Sundar,,,,,,,,,,6.3,6.3,30
17,JM Kemp,,,6.444444444444445,,,,,,,,6.444444444444445,9
18,GH Vihari,,,,,,6.5,,,,,6.5,6
19,MJ Clarke,,,,,6.545454545454546,,,,,,6.545454545454546,11
20,Sohail Tanvir,6.5476190476190474,,,,,,,,,,6.5476190476190474,42
21,SMSM Senanayake,,,,,,6.59375,,,,,6.59375,32
22,SP Narine,,,,,5.533333333333333,5.515625,6.6461538461538465,7.6875,7.209302325581396,6.983050847457627,6.595827558754366,323
23,RE van der Merwe,,7.735294117647059,6.75,6.266666666666667,6.0,6.454545454545454,,,,,6.641301247771835,74
24,RV Gomez,,,,8.333333333333334,,5.0,,,,,6.666666666666667,16
25,NJ Rimmington,,,,6.666666666666667,,,,,,,6.666666666666667,3
26,FH Edwards,,6.666666666666667,,,,,,,,,6.666666666666667,24
27,SM Pollock,6.673913043478261,,,,,,,,,,6.673913043478261,46
28,PD Collingwood,,,6.733333333333333,,,,,,,,6.733333333333333,15
29,GD McGrath,6.777777777777778,,,,,,,,,,6.777777777777778,54
30,R Rampaul,,,,,,7.421052631578948,6.166666666666667,,,,6.793859649122807,44
31,RN ten Doeschate,,,,7.0,8.0,8.0,7.0,4.0,,,6.8,13
32,SS Sarkar,,6.8,,,,,,,,,6.8,5
33,Rashid Khan,,,,,,,,,,6.814814814814815,6.814814814814815,54
34,CK Langeveldt,,3.75,8.363636363636363,8.363636363636363,,,,,,,6.825757575757575,26
35,T Henderson,,6.833333333333333,,,,,,,,,6.833333333333333,6
36,A Kumble,8.051282051282051,5.883333333333334,6.59375,,,,,,,,6.842788461538461,163
37,AL Menaria,,,,8.066666666666666,5.75,,,,,,6.908333333333333,19
38,RS Bopara,,2.5,10.153846153846153,,,,,8.2,,,6.951282051282051,35
39,AJ Tye,,,,,,,,,,6.9523809523809526,6.9523809523809526,21
40,NL McCullum,,,,7.0,,,,,,,7.0,5
41,Y Gnaneswara Rao,,,,7.0,,,,,,,7.0,1
42,GR Napier,,7.0,,,,,,,,,7.0,4
43,KS Williamson,,,,,,,,,7.0,,7.0,1
44,SL Malinga,,6.549019607843137,7.2,6.140625,6.339285714285714,7.333333333333333,6.675,7.55,,8.622222222222222,7.05118573471055,432
45,J Botha,,6.333333333333333,,6.722222222222222,7.414634146341464,6.705882352941177,,8.2,,,7.075214410967639,116
46,AJ Finch,,,2.5,6.5,,12.25,,,,,7.083333333333333,8
47,Mohammad Hafeez,7.1,,,,,,,,,,7.1,10
48,M Muralitharan,7.172413793103448,5.34,7.26530612244898,7.25,6.6,8.347826086956522,7.8125,,,,7.112578000358421,256
49,DL Vettori,6.75,7.75,8.166666666666666,6.0576923076923075,6.885714285714286,,,,,,7.122014652014651,131
50,B Kumar,,,,6.181818181818182,7.512820512820513,6.684210526315789,6.581818181818182,8.057692307692308,7.621212121212121,7.245283018867925,7.126407835792146,333
51,S Nadeem,,,,7.631578947368421,7.111111111111111,6.0,8.051282051282051,6.142857142857143,8.466666666666667,6.611111111111111,7.144943861485215,187
52,AD Mascarenhas,7.75,6.65,8.25,,6.875,6.25,,,,,7.154999999999999,52
53,Harbhajan Singh,8.4,6.181818181818182,7.12962962962963,7.037735849056604,7.203703703703703,6.6571428571428575,6.636363636363637,7.859649122807017,8.204081632653061,6.560975609756097,7.187110022293078,487
54,BMAJ Mendis,,,,,,7.2,,,,,7.2,5
55,JP Duminy,,5.333333333333333,6.166666666666667,8.277777777777779,8.0,,7.333333333333333,7.529411764705882,7.857142857142857,,7.213952247565693,112
56,KH Pandya,,,,,,,,,7.4375,7.0,7.21875,72
57,DW Steyn,6.973684210526316,6.888888888888889,7.033898305084746,6.608695652173913,6.170212765957447,6.029411764705882,7.875,9.0,8.5,,7.231087954148576,344
58,AG Murtaza,,,7.75,6.1,5.5,9.6,,,,,7.237500000000001,44
59,T Thushara,,7.625,6.866666666666666,,,,,,,,7.245833333333334,23
60,C Nanda,,7.25,,,,,,,,,7.25,8
61,BAW Mendis,6.0,8.0,8.5,,,6.5,,,,,7.25,41
62,SE Bond,,,7.258064516129032,,,,,,,,7.258064516129032,31
63,ND Doshi,,,4.25,10.333333333333334,,,,,,,7.291666666666667,10
64,AA Chavan,,,,6.2,8.75,7.0,,,,,7.316666666666666,42
65,SK Warne,7.865384615384615,7.38,7.78,6.340425531914893,,,,,,,7.341452536824877,199
66,M Ntini,7.3428571428571425,,,,,,,,,,7.3428571428571425,35
67,S Gopal,,,,,,,8.071428571428571,7.666666666666667,6.333333333333333,,7.357142857142857,20
68,LH Ferguson,,,,,,,,,,7.384615384615385,7.384615384615385,13
69,SM Harwood,,7.4,,,,,,,,,7.4,10
70,BA Stokes,,,,,,,,,,7.431818181818182,7.431818181818182,44
71,MA Starc,,,,,,,7.7592592592592595,7.116279069767442,,,7.437769164513351,97
72,MR Marsh,,,8.9,6.8,,9.2,,,5.0,,7.475,54
73,JW Hastings,,,,,,,9.666666666666666,,5.285714285714286,,7.476190476190476,10
74,C Munro,,,,,,,,,7.5,,7.5,2
75,RJ Harris,,7.580645161290323,7.709677419354839,8.53191489361702,7.555555555555555,6.166666666666667,,,,,7.5088919392968805,139
76,BJ Hodge,,8.35,8.2,7.0,11.0,3.0,,,,,7.51,39
77,MF Maharoof,7.083333333333333,6.7,8.75,,,,,,,,7.51111111111111,70
78,R Tewatia,,,,,,,6.555555555555555,10.333333333333334,,5.666666666666667,7.518518518518519,21
79,DE Bollinger,,,6.870967741935484,7.297872340425532,8.421052631578947,,,,,,7.5299642379799865,97
80,NM Coulter-Nile,,,,,,7.25,6.75,7.6976744186046515,8.0,8.0,7.53953488372093,95
81,A Zampa,,,,,,,,,6.882352941176471,8.2,7.541176470588235,37
82,Gurkeerat Singh,,,,,,,,7.333333333333333,7.75,,7.541666666666666,13
