batsman,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
A Ashish Reddy,,,,,35,125,,73,47,
A Chandila,,,,,0,4,,,,
A Chopra,42,11,,,,,,,,
A Choudhary,,,,,,,,,,25
A Flintoff,,62,,,,,,,,
A Kumble,13,16,6,,,,,,,
A Mishra,37,26,39,68,16,89,4,8,4,49
A Mithun,,,5,27,,2,,,,
A Mukund,0,,,,,19,,,,
A Nehra,3,1,23,,11,1,,1,1,
A Singh,,1,,1,0,,,,,
A Symonds,161,249,429,135,,,,,,
A Uniyal,,,4,,,,,,,
A Zampa,,,,,,,,,0,5
AA Bilakhia,,67,2,,,,,,,
AA Chavan,,,,1,11,,,,,
AA Jhunjhunwala,,,183,10,24,,,,,
AA Noffke,9,,,,,,,,,
AB Agarkar,54,66,40,7,,12,,,,
AB Barath,,,42,,,,,,,
AB Dinda,2,2,0,0,2,9,4,,,7
AB McDonald,,3,65,8,47,0,,,,
AB de Villiers,95,465,111,312,319,373,395,513,687,216
AC Blizzard,,,,120,0,,,,,
AC Gilchrist,436,495,289,383,172,294,,,,
AC Thomas,,,,1,19,,,,,
AC Voges,,,181,,,,,,,
AD Mascarenhas,9,39,12,,14,5,,,,
AD Mathews,,16,233,,127,172,,144,,32
AD Nath,,,,,,,,,20,0
AD Russell,,,,,47,11,2,326,188,
AF Milne,,,,,,,,,,7
AG Murtaza,,,,2,3,5,,,,
AG Paunikar,,,0,49,,,,,,
AJ Finch,,,21,47,55,456,309,23,393,300
AJ Tye,,,,,,,,,,53
AL Menaria,,,,180,220,1,,,,
AM Nayar,206,193,58,61,45,66,43,,,
AM Rahane,4,144,,120,560,488,339,540,480,382
AN Ahmed,,,4,18,,,4,10,,
AN Ghosh,,7,,,,,,,,
AP Dole,,,34,,,,,,,
AP Majumdar,,,,,87,,,,,
AP Tare,,,50,,,123,126,14,8,18
AR Bawne,,,,,,,,,,12
AR Patel,,,,,,,62,206,111,227
AS Rajpoot,,,,,,2,,,,4
AS Raut,,78,56,60,,,,,,
AS Yadav,49,,,,,,,,,
AT Rayudu,,,356,395,333,265,361,281,334,91
AUK Pathan,,,,33,6,,,,,
Abdur Razzak,0,,,,,,,,,
Anirudh Singh,,,63,,,,,,,
Ankit Sharma,,,,,18,,34,7,3,25
Ankit Soni,,,,,,,,,,7
Anureet Singh,,,,,,,,18,,15
Azhar Mahmood,,,,,186,196,,6,,
B Akhil,46,17,,13,,,,,,
B Chipli,20,,,207,37,16,,,,
B Kumar,,,,1,40,52,1,17,43,4
B Laughlin,,,,,,4,,,,
B Lee,17,28,11,5,42,21,,,,
B Sumanth,,,35,,,,,,,
BA Bhatt,,,,0,6,,,,,
BA Stokes,,,,,,,,,,316
BAW Mendis,,0,1,,,2,,,,
BB McCullum,188,286,114,357,289,6,405,436,354,320
BB Samantray,,,,,2,123,,,,
BB Sran,,,,,,,,,4,
BCJ Cutting,,,,,,,8,,65,51
BE Hendricks,,,,,,,0,1,,
BJ Haddin,,,,18,,,,,,
BJ Hodge,12,365,99,285,245,293,101,,,
BJ Rohrer,,,,,,193,,,,
BMAJ Mendis,,,,,,23,,,,
BR Dunk,,,,,,,40,,,
Basil Thampi,,,,,,,,,,28
Bipul Sharma,,,9,23,72,,,1,51,31
C Madan,,,15,,,,,,,
C Munro,,,,,,,,,30,
C Nanda,,0,,,,,,,,
C de Grandhomme,,,,,,,,,,126
CA Ingram,,,,21,,,,,,
CA Lynn,,,,,6,,58,,25,295
CA Pujara,,,122,34,17,92,125,,,
CH Gayle,,184,292,608,733,720,196,491,227,200
CH Morris,,,,,,14,,76,195,154
CJ Anderson,,,,,,,265,114,,142
CJ Ferguson,,,,48,50,,,,,
CJ Jordan,,,,,,,,,3,0
CJ McKay,,,,,8,,,,,
CK Kapugedera,16,,,,,,,,,
CK Langeveldt,,,0,8,,,,,,
CL White,114,,48,104,479,226,,,,
CM Gautam,,,,,,44,121,4,,
CR Brathwaite,,,,,,,,,83,12
CR Woakes,,,,,,,,,,46
CRD Fernando,2,,2,,,,,,,
D Kalyankrishna,3,,,,,,,,,
D Salunkhe,33,,,,,,,,,
D Wiese,,,,,,,,122,5,
D du Preez,,10,,,,,,,,
DA Miller,,,,,98,418,446,357,161,83
DA Warner,,163,282,324,256,410,528,562,848,641
DAJ Bracewell,,,,,12,,,,,
DB Das,103,,,,126,75,,,,
DB Ravi Teja,109,65,,183,4,14,,,,
DE Bollinger,,,18,0,3,,,,,
DH Yagnik,,,,16,25,125,4,,,
DJ Bravo,178,218,61,11,371,121,8,195,99,
DJ Harris,,,,,111,,,,,
DJ Hooda,,,,,,,,151,144,78
DJ Hussey,319,98,94,64,396,235,116,,,
DJ Jacobs,,,,92,0,,,,,
DJ Muthuswami,,,,,,,,1,,
DJ Thornely,39,,,,,,,,,
DJG Sammy,,,,,,174,108,13,,
DL Chahar,,,,,,,,,,14
DL Vettori,,34,33,23,31,,,,,
DM Bravo,,,,,,,,,,6
DNT Zoysa,11,,,,,,,,,
DP Nannes,,,4,,,,,,,
DP Vijaykumar,1,,,,,,,,,
DPMD Jayawardene,179,219,445,299,335,331,,,,
DR Martyn,,,19,,,,,,,
DR Smith,45,215,22,,157,418,566,399,324,239
DS Kulkarni,2,9,,2,10,,35,4,27,1
DS Lehmann,18,,,,,,,,,
DT Christian,,,,190,145,6,,,,79
DT Patil,13,,,,,,,,,
DW Steyn,2,0,13,36,19,53,22,20,1,
EJG Morgan,,,35,137,,307,,187,123,65
ER Dwivedi,,,,,,,,,24,
F Behardien,,,,,,,,,14,
F du Plessis,,,,,398,,303,380,206,8
FH Edwards,,4,,,,,,,,
FY Fazal,,,164,19,,,,,,
G Gambhir,534,286,277,378,590,406,335,327,501,498
GB Hogg,,,,,15,,,7,,
GC Smith,441,212,44,42,,,,,,
GD McGrath,4,,,,,,,,,
GH Vihari,,,,,,241,,39,,
GJ Bailey,,45,18,,,,257,259,84,
GJ Maxwell,,,,,6,36,552,146,179,310
GR Napier,,15,,,,,,,,
Gurkeerat Singh,,,,,86,108,,35,113,
H Das,2,,,,,,,,,
HH Gibbs,167,371,267,,81,,,,,
HH Pandya,,,,,,,,112,44,250
HM Amla,,,,,,,,,157,420
HV Patel,,,,,15,,13,19,,
Harbhajan Singh,30,84,105,103,108,116,28,117,92,16
Harmeet Singh,,,0,,15,3,,,,
Harpreet Singh,,,,14,6,,,,,
I Malhotra,,,,7,,,,,,
I Sharma,11,16,6,4,,,,,,8
IC Pandey,,,,,,0,,,,
IK Pathan,131,196,276,150,176,153,55,,11,2
IR Jaggi,,,,28,15,,,,,33
Imran Tahir,,,,,,,8,5,5,0
Iqbal Abdulla,1,,0,15,2,8,,20,37,5
Ishan Kishan,,,,,,,,,42,277
J Arunkumar,23,,,,,,,,,
J Botha,,47,,230,58,43,,31,,
J Suchith,,,,,,,,48,,
J Syed Mohammad,,,,15,4,10,,,,
J Theron,,,2,,7,,,1,,
J Yadav,,,,,,,,,6,
JA Morkel,241,97,199,138,107,46,45,86,16,
JC Buttler,,,,,,,,,255,273
JD Ryder,,56,,292,256,,,,,
JD Unadkat,,,,,,2,1,,,2
JDP Oram,18,88,,0,,,,,,
JDS Neesham,,,,,,,42,,,
JE Taylor,,,,3,,,,,,
JEC Franklin,,,,107,220,,,,,
JH Kallis,199,361,572,424,409,311,151,,,
JJ Bumrah,,,,,,,1,,8,16
JJ Roy,,,,,,,,,,59
JJ van der Wath,,,,18,,,,,,
JM Kemp,,,26,,,,,,,
JO Holder,,,,,,,16,,22,
