bowler,player_dismissed
A Ashish Reddy,19
A Chandila,11
A Choudhary,5
A Flintoff,2
A Kumble,49
A Mishra,142
A Mithun,8
A Nehra,121
A Nel,1
A Singh,31
A Symonds,23
A Uniyal,3
A Zampa,19
AA Chavan,8
AA Jhunjhunwala,1
AA Kazi,1
AA Noffke,1
AB Agarkar,33
AB Dinda,82
AB McDonald,14
AC Gilchrist,1
AC Thomas,16
AC Voges,1
AD Mascarenhas,19
AD Mathews,28
AD Russell,36
AF Milne,5
AG Murtaza,12
AJ Finch,1
AJ Tye,12
AL Menaria,3
AM Nayar,9
AM Rahane,1
AM Salvi,7
AN Ahmed,15
AP Dole,5
AR Patel,61
AS Rajpoot,8
AS Raut,0
AUK Pathan,0
Abdur Razzak,0
Anand Rajan,10
Ankit Sharma,12
Ankit Soni,4
Anureet Singh,19
Avesh Khan,1
Azhar Mahmood,31
B Akhil,7
B Chipli,0
B Geeves,2
B Kumar,117
B Laughlin,1
B Lee,30
B Stanlake,2
BA Bhatt,13
BA Stokes,14
BAW Mendis,9
BB Sran,14
BCJ Cutting,9
BE Hendricks,11
BJ Hodge,18
BJ Rohrer,0
BMAJ Mendis,1
BW Hilfenhaus,23
Basil Thampi,15
Bipul Sharma,22
C Ganapathy,0
C Munro,0
C Nanda,2
C de Grandhomme,4
CH Gayle,19
CH Morris,62
CJ Anderson,9
CJ Jordan,14
CJ McKay,1
CK Kapugedera,0
CK Langeveldt,13
CL White,1
CR Brathwaite,10
CR Woakes,18
CRD Fernando,19
D Kalyankrishna,2
D Salunkhe,1
D Wiese,17
D du Preez,4
DAJ Bracewell,3
DB Ravi Teja,1
DE Bollinger,43
DJ Bravo,137
DJ Harris,0
DJ Hooda,6
DJ Hussey,10
DJ Muthuswami,4
DJ Thornely,3
DJG Sammy,14
DL Chahar,1
DL Vettori,34
DNT Zoysa,2
DP Nannes,38
DP Vijaykumar,4
DR Smith,27
DS Kulkarni,81
DT Christian,32
DW Steyn,100
F du Plessis,0
FH Edwards,6
FY Fazal,1
GB Hogg,25
GD McGrath,14
GH Vihari,1
GJ Maxwell,12
GR Napier,1
GS Sandhu,1
Gagandeep Singh,3
Gurkeerat Singh,5
HH Pandya,10
HV Patel,37
Harbhajan Singh,136
Harmeet Singh,30
Harmeet Singh (2),1
I Malhotra,0
I Sharma,59
IC Pandey,19
IK Pathan,99
Imran Tahir,50
Iqbal Abdulla,45
J Botha,27
J Suchith,10
J Syed Mohammad,10
J Theron,13
J Yadav,4
JA Morkel,96
JD Ryder,11
JD Unadkat,60
JDP Oram,13
JDS Neesham,1
JE Taylor,6
JEC Franklin,9
JH Kallis,74
JJ Bumrah,53
JJ van der Wath,3
JM Kemp,3
JO Holder,8
JP Duminy,23
JP Faulkner,76
JR Hopes,14
JW Hastings,3
Jaskaran Singh,6
Joginder Sharma,13
K Goel,0
K Rabada,8
K Santokie,3
K Upadhyay,0
KA Pollard,67
KAJ Roach,0
KC Cariappa,8
KH Pandya,17
KJ Abbott,2
KK Cooper,36
KMDN Kulasekara,6
KP Appanna,11
KP Pietersen,9
KS Williamson,0
KV Sharma,54
KW Richardson,20
Kamran Khan,14
Karanveer Singh,14
Kuldeep Yadav,19
L Ablish,5
L Balaji,85
LA Carseldine,1
LH Ferguson,5
LJ Wright,2
LMP Simmons,1
LPC Silva,0
LR Shukla,17
LRPL Taylor,0
M Ashwin,7
M Kartik,39
M Manhas,0
M Morkel,88
M Muralitharan,67
M Ntini,8
M Vijay,0
M de Lange,6
MA Khote,2
MA Starc,39
MB Parmar,0
MC Henriques,42
MF Maharoof,33
MG Johnson,64
MG Neser,0
MJ Clarke,3
MJ Henry,2
MJ McClenaghan,56
MK Tiwary,1
MM Patel,82
MM Sharma,91
MN Samuels,10
MP Stoinis,11
MR Marsh,20
MS Gony,39
Mashrafe Mortaza,1
Mohammad Asif,9
Mohammad Hafeez,2
Mohammad Nabi,2
Mohammed Shami,27
