batsman,batsman_runs
DA Warner,39
V Kohli,35
G Gambhir,35
RG Sharma,33
SK Raina,32
S Dhawan,28
CH Gayle,27
AB de Villiers,26
AM Rahane,26
RV Uthappa,22
SE Marsh,21
V Sehwag,18
JH Kallis,17
MS Dhoni,17
DR Smith,17
SR Watson,16
MEK Hussey,16
BB McCullum,15
M Vijay,15
YK Pathan,15
AT Rayudu,14
KD Karthik,14
JP Duminy,14
SR Tendulkar,14
AC Gilchrist,13
AJ Finch,13
LMP Simmons,12
KA Pollard,12
Yuvraj Singh,12
DPMD Jayawardene,11
R Dravid,11
S Badrinath,11
PA Patel,10
MK Pandey,10
KC Sangakkara,10
TM Dilshan,9
DA Miller,9
KK Nair,8
F du Plessis,8
SV Samson,8
ML Hayden,8
SS Tiwary,7
SC Ganguly,7
WP Saha,7
MK Tiwary,7
A Symonds,6
BJ Hodge,6
SPD Smith,6
NV Ojha,6
GJ Maxwell,6
Q de Kock,6
HH Gibbs,6
CL White,6
SS Iyer,6
ST Jayasuriya,5
Mandeep Singh,5
HM Amla,5
MC Henriques,5
DJ Hussey,5
KP Pietersen,5
JD Ryder,4
JR Hopes,4
N Rana,4
MS Bisla,4
KL Rahul,4
GC Smith,4
OA Shah,4
DJ Bravo,4
EJG Morgan,4
JA Morkel,3
CJ Anderson,3
Y Venugopal Rao,3
KS Williamson,3
LRPL Taylor,3
RR Pant,3
MA Agarwal,3
KM Jadhav,3
RS Bopara,3
PC Valthaty,3
PD Collingwood,3
M Vohra,3
AD Russell,3
CA Lynn,3
CH Morris,2
Azhar Mahmood,2
S Sohal,2
SW Billings,2
RA Tripathi,2
Shakib Al Hasan,2
GJ Bailey,2
BA Stokes,2
TL Suman,2
SM Katich,2
SA Asnodkar,2
Gurkeerat Singh,1
SA Yadav,1
JC Buttler,1
MV Boucher,1
RJ Quiney,1
MJ Guptill,1
MJ Lumb,1
R McLaren,1
LA Pomersbach,1
Kamran Akmal,1
RE Levi,1
KH Pandya,1
MN van Wyk,1
RN ten Doeschate,1
HH Pandya,1
MP Stoinis,1
JEC Franklin,1
S Anirudha,1
J Botha,1
Ishan Kishan,1
IK Pathan,1
Harbhajan Singh,1
Niraj Patel,1
S Vidyut,1
N Saini,1
AD Mathews,1
DJ Hooda,1
AA Jhunjhunwala,1
