,Player,Base.P 2015,Team 2015,Auction.P 2015,Playing Role,Base.P 2018,Team 2018,Auction.P 2018,Team 2012,Base.P 2012,Auction.P 2012,Team 2009,Auction.P 2009,Base.P 2009
0,Michael Hussey,150.0,Chennai Super Kings,150.0,,,,,,,,,,
1,Irfan Pathan,150.0,Chennai Super Kings,150.0,,,,,,,,,,
2,Rahul Sharma,30.0,Chennai Super Kings,30.0,,,,,,,,,,
3,Kyle Abbott,30.0,Chennai Super Kings,30.0,,,,,,,,,,
4,Andrew Tye,20.0,Chennai Super Kings,20.0,Bowler,100.0,Kings XI Punjab,720.0,,,,,,
5,Pratyush Singh,10.0,Chennai Super Kings,10.0,,,,,,,,,,
6,Ankush Bains,10.0,Chennai Super Kings,10.0,,,,,,,,,,
7,Eklavya Dwivedi,10.0,Chennai Super Kings,10.0,,,,,,,,,,
8,Yuvraj Singh,200.0,Delhi Daredevils,1600.0,All-Rounder,200.0,Kings XI Punjab,200.0,,,,,,
9,Angelo Mathews,150.0,Delhi Daredevils,750.0,,,,,,,,,,
10,Zaheer Khan,100.0,Delhi Daredevils,400.0,,,,,,,,,,
11,Amit Mishra,10.0,Delhi Daredevils,350.0,Bowler,150.0,Delhi Daredevils,400.0,,,,,,
12,Shreyas Iyer,10.0,Delhi Daredevils,260.0,,,,,,,,,,
13,Gurinder Sandhu,30.0,Delhi Daredevils,170.0,,,,,,,,,,
14,Jaydev Unadkat,50.0,Delhi Daredevils,110.0,Bowler,150.0,Rajasthan Royals,1150.0,,,,,,
15,Domnic Joseph,10.0,Delhi Daredevils,75.0,,,,,,,,,,
16,Albie Morkel,30.0,Delhi Daredevils,30.0,,,,,,,,,,
17,Marcus Stoinis,20.0,Delhi Daredevils,25.0,All-Rounder,200.0,Kings XI Punjab[RTM],620.0,,,,,,
18,CM Gautam,20.0,Delhi Daredevils,20.0,,,,,,,,,,
19,Srikar Bharat,10.0,Delhi Daredevils,10.0,,,,,,,,,,
20,KK Jiyas,10.0,Delhi Daredevils,10.0,,,,,,,,,,
21,Murali Vijay,50.0,Kings XI Punjab,300.0,,,,,,,,,,
22,Nikhil Naik,10.0,Kings XI Punjab,30.0,,,,,,,,,,
23,Yogesh Golwalkar,10.0,Kings XI Punjab,10.0,,,,,,,,,,
24,KC Cariappa,10.0,Kolkata Knight Riders,240.0,,,,,,,,,,
25,James Neesham,30.0,Kolkata Knight Riders,50.0,,,,,,,,,,
26,Brad Hogg,50.0,Kolkata Knight Riders,50.0,,,,,Rajasthan Royals,"$100,000","$180,000",,,
27,Aditya Garhwal,10.0,Kolkata Knight Riders,25.0,,,,,,,,,,
28,Sheldon Jackson,10.0,Kolkata Knight Riders,15.0,,,,,,,,,,
29,Sumit Narwal,10.0,Kolkata Knight Riders,10.0,,,,,,,,,,
30,Vaibhav Rawal,10.0,Kolkata Knight Riders,10.0,,,,,,,,,,
31,Aaron Finch,100.0,Mumbai Indians,320.0,Batsman,150.0,Kings XI Punjab,620.0,,,,,,
32,Pragyan Ojha,50.0,Mumbai Indians,50.0,,,,,,,,,,
33,Abhimanyu Mithun,30.0,Mumbai Indians,30.0,,,,,,,,,,
34,Mitchell McClenaghan,30.0,Mumbai Indians,30.0,,,,,,,,,,
35,Aiden Blizzard,30.0,Mumbai Indians,30.0,,,,,,,,,,
36,Hardik Pandya,10.0,Mumbai Indians,10.0,,,,,,,,,,
37,Akshay Wakhare,10.0,Mumbai Indians,10.0,,,,,,,,,,
38,Nitish Rana,10.0,Mumbai Indians,10.0,All-Rounder,20.0,Kolkata Knight Riders,340.0,,,,,,
39,Siddhesh Lad,10.0,Mumbai Indians,10.0,,,,,,,,,,
40,Jagadeesha Suchith,10.0,Mumbai Indians,10.0,,,,,,,,,,
41,Chris Morris,50.0,Rajasthan Royals,140.0,,,,,,,,,,
42,Rusty Theron,30.0,Rajasthan Royals,30.0,,,,,,,,,,
43,Barinder Sran,10.0,Rajasthan Royals,10.0,Bowler,50.0,Kings XI Punjab,220.0,,,,,,
44,Dinesh Salunkhe,10.0,Rajasthan Royals,10.0,,,,,,,,,,
45,Sagar Trivedi,10.0,Rajasthan Royals,10.0,,,,,,,,,,
46,Pardeep Sahu,10.0,Rajasthan Royals,10.0,,,,,,,,,,
47,Dinesh Karthik,200.0,Royal Challengers Bangalore,1050.0,Wicketkeeper,200.0,Kolkata Knight Riders,740.0,,,,,,
48,Darren Sammy,100.0,Royal Challengers Bangalore,280.0,,,,,,,,,,
49,David Wiese,30.0,Royal Challengers Bangalore,280.0,,,,,,,,,,
50,Sean Abbott,50.0,Royal Challengers Bangalore,100.0,,,,,,,,,,
51,Adam Milne,30.0,Royal Challengers Bangalore,70.0,,,,,,,,,,
52,Sarfaraz Khan,10.0,Royal Challengers Bangalore,50.0,,,,,,,,,,
53,Subramaniam Badrinath,30.0,Royal Challengers Bangalore,30.0,,,,,,,,,,
54,Jalaj Saxena,10.0,Royal Challengers Bangalore,10.0,,,,,,,,,,
55,Shishir Bhavane,10.0,Royal Challengers Bangalore,10.0,,,,,,,,,,
56,Trent Boult,50.0,Sunrisers Hyderabad,380.0,Bowler,150.0,Delhi Daredevils,220.0,,,,,,
57,Praveen Kumar,50.0,Sunrisers Hyderabad,220.0,,,,,,,,,,
58,Kevin Pietersen,200.0,Sunrisers Hyderabad,200.0,,,,,,,,Royal Challengers Bangalore,"$1,550,000","$1,350,000"
59,Eoin Morgan,150.0,Sunrisers Hyderabad,150.0,,,,,,,,,,
60,Ravi Bopara,100.0,Sunrisers Hyderabad,100.0,,,,,,,,Kings XI Punjab,"$450,000","$150,000"
61,Kane Williamson,50.0,Sunrisers Hyderabad,60.0,Batsman,150.0,Sunrisers Hyderabad,300.0,,,,,,
62,Laxmi Ratan Shukla,30.0,Sunrisers Hyderabad,30.0,,,,,,,,,,
63,Padmanabhan Prasanth,10.0,Sunrisers Hyderabad,10.0,,,,,,,,,,
64,Hanuma Vihari,10.0,Sunrisers Hyderabad,10.0,,,,,,,,,,
65,Siddarth Kaul,10.0,Sunrisers Hyderabad,10.0,,,,,,,,,,
66,Shikhar Dhawan,,,,Batsman,200.0,Sunrisers Hyderabad[RTM],520.0,,,,,,
67,Ravichandran Ashwin,,,,All-Rounder,200.0,Kings XI Punjab,760.0,,,,,,
68,Kieron Pollard,,,,All-Rounder,200.0,Mumbai Indians[RTM],540.0,,,,,,
69,Ben Stokes,,,,All-Rounder,200.0,Rajasthan Royals,1250.0,,,,,,
70,Faf du Plessis,,,,Batsman,150.0,Chennai Super Kings[RTM],160.0,,,,,,
71,Ajinkya Rahane,,,,Batsman,200.0,Rajasthan Royals[RTM],400.0,,,,,,
72,Mitchell Starc,,,,Bowler,200.0,Kolkata Knight Riders,940.0,,,,,,
73,Harbhajan Singh,,,,Bowler,200.0,Chennai Super Kings,200.0,,,,,,
74,Shakib Al Hasan,,,,All-Rounder,100.0,Sunrisers Hyderabad,200.0,,,,,,
75,Glenn Maxwell,,,,All-Rounder,200.0,Delhi Daredevils,900.0,,,,,,
76,Gautam Gambhir,,,,Batsman,200.0,Delhi Daredevils,280.0,,,,,,
77,Dwayne Bravo,,,,All-Rounder,200.0,Chennai Super Kings[RTM],640.0,,,,,,
78,Karun Nair,,,,Batsman,50.0,Kings XI Punjab,560.0,,,,,,
79,KL Rahul,,,,Batsman,200.0,Kings XI Punjab,1100.0,,,,,,
80,David Miller,,,,Batsman,150.0,Kings XI Punjab[RTM],300.0,,,,,,
81,Brendon McCullum,,,,Batsman,200.0,Royal Challengers Bangalore,360.0,Kolkata Knight Riders,"$400,000","$900,000",,,
82,Jason Roy,,,,Batsman,150.0,Delhi Daredevils,150.0,,,,,,
83,Chris Lynn,,,,Batsman,200.0,Kolkata Knight Riders,960.0,,,,,,
84,Manish Pandey,,,,Batsman,100.0,Sunrisers Hyderabad,1100.0,,,,,,
85,Chris Woakes,,,,All-Rounder,200.0,Royal Challengers Bangalore,740.0,,,,,,
86,Carlos Brathwaite,,,,All-Rounder,100.0,Sunrisers Hyderabad,200.0,,,,,,
87,Shane Watson,,,,All-Rounder,100.0,Chennai Super Kings,400.0,,,,,,
88,Kedar Jadhav,,,,All-Rounder,200.0,Chennai Super Kings,780.0,,,,,,
89,Colin de Grandhomme,,,,All-Rounder,75.0,Royal Challengers Bangalore,220.0,,,,,,
90,Yusuf Pathan,,,,All-Rounder,75.0,Sunrisers Hyderabad,190.0,,,,,,
91,Colin Munro,,,,All-Rounder,50.0,Delhi Daredevils,190.0,,,,,,
92,Stuart Binny,,,,All-Rounder,50.0,Rajasthan Royals,50.0,,,,,,
93,Moeen Ali,,,,All-Rounder,150.0,Royal Challengers Bangalore,170.0,,,,,,
