batsman,avg.runs,4's,6's,50's,100's,no of balls,batsman_runs,strike,30's,values
KL Rahul,46.0,116,57,13,2,873,1288,147.537227949599,17,0.7722082502472667
RR Pant,40.9333333333333,104,65,9,1,723,1228,169.84785615491,16,0.7340788513874388
S Dhawan,33.46875,125,25,9,0,771,1071,138.910505836575,15,0.6344107565793055
AB de Villiers,39.25,70,56,11,0,575,942,163.826086956521,12,0.6337243644473866
AD Russell,32.2592592592592,49,82,7,0,453,871,192.273730684326,13,0.6242859940454212
DA Warner,60.5833333333333,58,22,9,1,496,727,146.572580645161,10,0.6231464346480003
V Kohli,36.1071428571428,98,31,8,1,717,1011,141.004184100418,14,0.6158249671424186
JC Buttler,43.0,91,36,8,0,579,903,155.958549222797,11,0.6125426771537511
CH Gayle,37.875,77,61,8,2,599,909,151.752921535893,11,0.603630308444366
KS Williamson,34.9230769230769,77,33,8,0,656,908,138.414634146341,15,0.5994182270177942
AS Yadav,33.1724137931034,106,26,6,0,720,962,133.611111111111,15,0.5975570800327096
CA Lynn,31.8620689655172,96,40,7,0,679,924,136.082474226804,14,0.5901755213249769
SR Watson,30.8125,86,56,7,2,690,986,142.898550724637,12,0.5834801164820224
MS Dhoni,33.9629629629629,48,51,6,0,638,917,143.73040752351,13,0.56992365131265
SS Iyer,31.2758620689655,72,35,6,0,715,907,126.853146853146,14,0.5575210029366269
SK Raina,27.09375,91,21,7,0,675,867,128.444444444444,13,0.5292868114626327
AT Rayudu,27.5757575757575,75,41,5,1,717,910,126.917712691771,12,0.524844741792771
SV Samson,31.1153846153846,60,32,5,1,563,809,143.694493783303,11,0.5128400989547229
Q de Kock,31.7916666666666,68,34,5,0,570,763,133.859649122807,11,0.5114730656171008
KD Karthik,28.0357142857142,72,30,4,1,530,785,148.113207547169,11,0.5023500716055225
AM Rahane,29.3703703703703,85,14,3,1,613,793,129.363784665579,12,0.49622824895785594
J Bairstow,46.8,50,18,4,1,293,468,159.726962457337,7,0.4919159712615587
HH Pandya,25.4285714285714,50,41,2,0,430,712,165.581395348837,9,0.464723631218246
RV Uthappa,24.7407407407407,58,31,2,0,532,668,125.563909774436,11,0.44762558066068525
PA Patel,27.6,68,14,3,0,384,552,143.75,10,0.44437244882144866
RG Sharma,24.3793103448275,77,21,4,0,542,707,130.442804428044,9,0.4418200957197511
N Rana,25.6538461538461,53,35,4,0,480,667,138.958333333333,8,0.43675520924203404
F du Plessis,32.1666666666666,54,21,3,0,456,579,126.973684210526,8,0.4312083965667295
SP Narine,22.1666666666666,59,34,3,0,288,532,184.722222222222,7,0.43005405479870973
MK Pandey,27.0416666666666,58,11,6,0,524,649,123.854961832061,8,0.4195073347857555
P Shaw,24.64,72,19,4,1,435,616,141.609195402298,7,0.41574555247102607
E Lewis,29.0,36,26,4,0,343,464,135.276967930029,8,0.4104674691112775
S Gill,22.4782608695652,43,15,4,0,384,517,134.635416666666,6,0.3610918672577407
SPD Smith,33.4,32,4,3,0,283,334,118.021201413427,5,0.346080327588254
MA Agarwal,19.25,35,19,2,0,335,462,137.910447761194,6,0.33599875824894687
M Ali,22.2142857142857,20,23,3,0,183,311,169.945355191256,4,0.3343755833192508
KA Pollard,21.5,25,27,2,0,290,430,148.275862068965,4,0.3296815711952544
Ishan Kishan,21.7777777777777,30,21,2,0,291,392,134.707903780068,5,0.3258249212974871
KK Nair,24.0,24,13,1,0,231,312,135.064935064935,6,0.32350048158136807
V Shankar,20.5652173913043,22,23,1,0,352,473,134.375,5,0.32144257237635465
KH Pandya,16.1111111111111,40,16,0,0,322,435,135.093167701863,6,0.31110237568667587
N Pooran,29.5,10,14,0,0,110,177,160.90909090909,3,0.30922678806902004
