no of balls,batsman_runs
196,280
7,4
75,53
20,25
57,62
49,35
382,340
26,34
23,19
63,41
10,2
781,974
7,4
8,5
88,69
11,12
218,217
12,9
160,179
43,42
50,26
103,123
2402,3486
91,120
1555,2069
19,20
143,181
79,79
599,724
28,20
350,574
12,7
14,10
61,49
1270,1604
30,53
367,401
588,672
2602,3057
27,36
8,7
23,34
77,87
285,339
12,12
494,606
13,6
172,194
40,49
1964,2416
26,39
2,0
69,63
69,87
9,7
43,33
311,388
57,76
256,280
160,158
9,4
102,124
38,35
7,6
227,316
6,3
2181,2755
116,125
4,4
70,124
3,1
11,18
1153,1400
146,193
27,23
36,40
30,28
124,187
21,15
31,30
1,0
92,126
26,21
260,384
403,390
2532,3651
275,439
414,521
119,98
5,3
15,8
24,16
9,8
774,971
158,169
56,95
47,46
3,4
8,3
24,33
94,127
13,10
1135,1563
2902,4014
9,12
267,304
325,375
23,21
142,170
1032,1262
103,111
277,373
1101,1322
101,92
3,1
54,39
251,295
6,14
118,121
5,6
9,11
13,4
1,1
1522,1808
26,19
1803,2385
101,90
19,18
351,420
13,13
161,166
725,854
15,24
13,14
1043,1295
5,4
179,183
3433,4132
22,22
691,739
5,4
323,280
552,663
780,1229
16,15
280,342
5,2
837,886
306,406
418,577
38,47
591,799
12,18
26,20
4,7
59,45
2,0
985,1150
100,76
25,18
86,88
255,319
24,23
364,409
33,48
27,29
13,10
12,6
712,975
375,528
466,604
13,5
110,106
46,42
4,3
309,327
2291,2427
27,25
41,59
17,18
25,26
32,38
1634,1993
406,527
314,417
11,8
30,36
239,218
68,55
9,12
1674,2354
9,10
53,51
18,15
1424,1687
2360,2903
313,480
8,13
70,116
929,1158
592,725
684,893
3,5
4,2
758,1001
325,411
285,317
39,36
78,128
5,3
17,12
22,20
2,0
50,36
37,34
71,81
251,302
1,1
63,106
878,1079
27,40
358,405
847,1017
1,0
258,259
109,113
78,73
486,514
93,126
30,20
19,11
70,55
2092,2511
750,957
2,1
692,814
22,24
98,96
769,969
134,125
213,237
13,14
1648,1977
124,177
157,151
96,98
143,189
198,278
45,63
1901,2223
1444,1648
839,1107
41,39
104,112
174,161
135,167
136,163
201,225
737,798
2680,3560
76,99
33,22
318,394
938,1112
2,2
82,117
12,2
6,3
84,64
3,2
46,46
355,437
143,140
13,0
21,20
1,1
23,26
326,424
53,52
33,23
1356,1553
124,121
405,506
14,5
141,127
323,340
284,353
3,1
13,19
2060,2322
167,164
432,505
159,203
56,77
36,24
2,1
467,515
45,16
97,92
12,6
39,18
12,7
20,17
566,726
246,231
290,342
17,19
135,153
1918,2174
178,159
6,3
52,51
236,270
77,66
23,19
24,35
285,304
1458,1732
275,391
2,3
74,83
144,159
2,2
3274,4207
112,117
32,32
105,103
238,326
78,52
2,0
381,564
64,67
18,20
51,53
78,73
468,531
8,2
2,4
129,91
53,50
2960,3778
9,11
121,136
59,59
25,13
1245,1441
33,25
3005,3561
27,14
13,9
1,0
10,0
71,26
29,37
82,91
4,2
311,368
57,34
38,31
4,3
115,145
13,15
352,423
479,608
58,49
30,28
16,6
134,131
3,2
1326,1349
92,99
2,1
1913,2489
5,5
3369,4548
61,42
219,198
103,88
14,9
191,241
116,147
17,10
103,177
9,7
171,196
260,241
31,38
193,271
1333,1713
2044,2334
1949,2628
655,807
7,6
1111,1276
573,768
619,766
1165,1426
173,226
26,23
106,137
172,193
36,26
46,81
401,500
3,5
6,1
8,2
49,52
31,36
1,0
31,43
20,12
16,11
20,11
26,31
19,12
8,5
29,10
36,54
587,676
1047,1153
151,205
11,8
59,75
11,8
1,0
15,7
314,300
105,127
95,94
19,39
3494,4423
1,0
1833,2728
77,101
26,29
56,46
3,4
7,7
2,2
271,282
28,15
26,19
129,130
76,56
80,63
1219,1557
73,81
12,9
17,10
18,19
271,285
865,985
1,0
2076,2922
29,15
183,192
67,47
7,3
2050,2591
141,117
